Id,recipe_name,additional_phrase,ing_name,Ing_quantity,Ing_unit,source,audio
1,بلوچی گوشت,بلوچی گوشت بنانے کے اجزاء,,,,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,بون لیس مٹن,½,کلو,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,ادرک لہسن کا پیسٹ,1, کھانے کا چمچہ,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,ثابت لال مرچ ,6,عدد,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,ہری مرچ,3,عدد,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,پسا ہوا زیرہ,1,چائے کا چمچہ,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,ہر ا دھنیا,1/4, گٹھی,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,دہی,1,پاﺅ,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,نمک,,حسب ذائقہ,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,پساگرم مصالحہ,1,چائے کا چمچہ,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,پسا کھوپرا ,2, کھانے کا چمچہ,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,تیل,3, کھانے کا چمچہ,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,پیاز ,1,عدد,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,جائفل جاوتری پاﺅڈر ,½,چائے کا چمچہ,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,شملہ مرچ ,1,عدد,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,کڑی پتے,,چند عدد,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,پودین,1/4, گٹھی,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,پسی لال مرچ,1,چائے کا چمچہ,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,ہلدی,1,چائے کا چمچہ,kfoods,dataset\Balochi Gosht - kfoods.wav
1,بلوچی گوشت,,اُبلے کٹے ٹماٹر ,2,عدد,kfoods,dataset\Balochi Gosht - kfoods.wav
2,دال پلاﺅ, دال پلاﺅ بنانے کے اجزاء,,,,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,چاول,300,گرام,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,اُبلی مونگ کی دال,50,گرام,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,ابلی چنے کی دال,50,گرام,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,اُبلی ملکہ مسور,50,گرام,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,اُبلے مٹر,1,پیالی,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,پیاز,2,عدد,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,ادرک لہسن کا پیسٹ,1, کھانے کا چمچہ,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,کھڑا گرم مصالحہ,,حسب ضرورت,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,ہری مرچ,5,عدد,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,کڑی پتے,,چند عدد,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,اُبلے چھوٹے کٹے ٹماٹر,3,عدد,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,نمک,,حسب ذائقہ,kfoods,dataset\Daal pilao - kfoods.wav
2,دال پلاﺅ,,گھی,1/4,کپ,kfoods,dataset\Daal pilao - kfoods.wav
3,گوبھی آلوکا سالن,گوبھی آلوکا سالن بنانے کے اجزاء,,,,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,پھول گوبھی,½,,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,دہی ,1,پاﺅ,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,پیاز ,1,عدد,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,آلو,2,عدد,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,ہری مرچ,4,عدد,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,ہرا دھنیا,,تھوڑا سا,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,پانی,1,کپ,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,تیل,1/4,کپ,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,پسازیرہ,1,چائے کا چمچہ,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,پسا دھنیا ,1,چائے کا چمچہ,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,ہلدی,1, کھانے کا چمچہ,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,پسی لال مرچ ,2, کھانے کا چمچہ,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
3,گوبھی آلوکا سالن,,نمک ,,حسب ذائقہ,kfoods,dataset\Gobhi Aloo ka Saalan - kfoods.wav
4,فِش موز,فِش موز بنانے کے اجزاء,,,,kfoods,dataset\Fish Mousse - kfoods.wav
4,فِش موز,,فِش فلے,200,گرام,kfoods,dataset\Fish Mousse - kfoods.wav
4,فِش موز,,بریڈ سلائس,4,عدد,kfoods,dataset\Fish Mousse - kfoods.wav
4,فِش موز,,لہسن کاپیسٹ,1, کھانے کا چمچہ,kfoods,dataset\Fish Mousse - kfoods.wav
4,فِش موز,,پانی,1,کپ,kfoods,dataset\Fish Mousse - kfoods.wav
4,فِش موز,,کالی مرچ,½,چائے کا چمچہ,kfoods,dataset\Fish Mousse - kfoods.wav
4,فِش موز,,کریم چیز ,3, کھانے کا چمچہ,kfoods,dataset\Fish Mousse - kfoods.wav
4,فِش موز,,مسٹرڈ پیسٹ,3, کھانے کا چمچہ,kfoods,dataset\Fish Mousse - kfoods.wav
4,فِش موز,,مایونیز,4, کھانے کا چمچہ,kfoods,dataset\Fish Mousse - kfoods.wav
4,فِش موز,,سلاد پتے,,گارنش کے لئے,kfoods,dataset\Fish Mousse - kfoods.wav
4,فِش موز,,ہرادھنیا,,حسب ضرورت,kfoods,dataset\Fish Mousse - kfoods.wav
4,فِش موز,,پودینہ,,حسب ضرورت,kfoods,dataset\Fish Mousse - kfoods.wav
4,فِش موز,,نمک,,حسب ذائقہ,kfoods,dataset\Fish Mousse - kfoods.wav
5,دہلی پھلکی تڑکے والی,دہلی پھلکی تڑکے والی بنانے کے اجزاء,,,,kfoods,dataset\Dehli  Phalki Tarkay Wali - kfoods.wav
5,دہلی پھلکی تڑکے والی,,مونگ کی دال کا آٹا ,½,پاﺅ,kfoods,dataset\Dehli  Phalki Tarkay Wali - kfoods.wav
5,دہلی پھلکی تڑکے والی,,دہی,1,پاﺅ,kfoods,dataset\Dehli  Phalki Tarkay Wali - kfoods.wav
5,دہلی پھلکی تڑکے والی,,کھانے کا سوڈا ,,تھو ڑا سا,kfoods,dataset\Dehli  Phalki Tarkay Wali - kfoods.wav
5,دہلی پھلکی تڑکے والی,,کٹی لال مرچ,1,چائے کا چمچہ,kfoods,dataset\Dehli  Phalki Tarkay Wali - kfoods.wav
5,دہلی پھلکی تڑکے والی,,ثابت زیرہ,½,چائے کا چمچہ,kfoods,dataset\Dehli  Phalki Tarkay Wali - kfoods.wav
5,دہلی پھلکی تڑکے والی,,پسی لال مرچ ,½,چائے کا چمچہ,kfoods,dataset\Dehli  Phalki Tarkay Wali - kfoods.wav
